neuron,concept,concept_id,metric
724,pirate,n03947888,0.9989
725,pitcher,n03950228,0.9964
726,plane,n03954731,0.9997
727,planetarium,n03956157,0.9992
728,plastic bag,n03958227,0.9772
729,plate rack,n03961711,0.9976
730,plow,n03967562,0.9974
731,plunger,n03970156,0.9743
732,polaroid camera,n03976467,0.9993
733,totem pole,n04458633,0.9920
734,police van,n03977966,0.9994
735,poncho,n03980874,0.9981
736,pool table,n03982430,0.9990
737,pop bottle,n03983396,0.9907
738,pot,n03991062,0.9948
739,potter's wheel,n03992509,0.9979
740,power drill,n03995372,0.9797
741,prayer rug,n03998194,0.9970
742,printer,n04004767,0.9958
743,prison,n04005630,0.9980
744,projectile,n04008634,0.9961
745,projector,n04009552,0.9949
746,puck,n04019541,0.9964
747,punching bag,n04023962,0.9942
748,dishrag,n03207743,0.9890
749,quill,n04033901,0.9902
750,quilt,n04033995,0.9976
751,racer,n04037443,0.9978
752,volleyball,n04540053,0.9871
753,radiator,n04040759,0.9990
754,radio,n04041544,0.9928
755,radio telescope,n04044716,0.9998
756,rain barrel,n04049303,0.9946
757,recreational vehicle,n04065272,0.9968
758,reel,n04067472,0.9960
759,reflex camera,n04069434,0.9989
760,refrigerator,n04070727,0.9966
761,remote control,n04074963,0.9944
762,restaurant,n04081281,0.9946
763,revolver,n04086273,0.9991
764,revolver,n04086273,0.9949
765,rocking chair,n04099969,0.9859
766,rotisserie,n04111531,0.9992
767,rubber eraser,n04116512,0.9938
768,rugby ball,n04118538,0.9985
769,rule,n04118776,0.9961
770,sandal,n04133789,0.9823
771,safe,n04125021,0.9977
772,safety pin,n04127249,0.9910
773,saltshaker,n04131690,0.9936
774,sandal,n04133789,0.9940
775,sarong,n04136333,0.9927
776,sax,n04141076,0.9977
777,scabbard,n04141327,0.9953
778,scale,n04141975,0.9895
779,school bus,n04146614,0.9999
780,yawl,n04612504,0.9990
781,scoreboard,n04149813,0.9993
782,screen,n04152593,0.9966
783,screw,n04153751,0.9914
784,screwdriver,n04154565,0.9883
785,seat belt,n04162706,0.9991
786,sewing machine,n04179913,0.9989
787,shield,n04192698,0.9968
788,shoe shop,n04200800,0.9964
789,shoji,n04201297,0.9992
790,shopping basket,n04204238,0.9973
791,shopping cart,n04204347,0.9990
792,shovel,n04208210,0.9777
793,shower cap,n04209133,0.9969
794,shower curtain,n04209239,0.9980
795,ski,n04228054,0.9981
796,ski mask,n04229816,0.9959
797,sleeping bag,n04235860,0.9945
798,slide rule,n04238763,0.9992
799,sliding door,n04239074,0.9957
800,slot,n04243546,0.9994
801,snorkel,n04251144,0.9966
802,snowmobile,n04252077,0.9993
803,snowplow,n04252225,0.9995
804,soap dispenser,n04254120,0.9955
805,soccer ball,n04254680,0.9889
806,sock,n04254777,0.9964
807,solar dish,n04258138,0.9990
808,sombrero,n04259630,0.9986
809,consomme,n07584110,0.9962
