neuron,concept,concept_id,metric
350,kitchen,203,0.9258
351,natural history museum,239,0.9642
352,lagoon,204,0.9521
353,bowling alley,64,0.9107
354,ruin,292,0.9769
355,airfield,0,0.9953
356,classroom,92,0.9753
357,reception,280,0.8971
358,"gazebo, exterior",159,0.9504
359,oast house,242,0.9344
360,fire escape,143,0.9396
361,"church, outdoor",91,0.9225
362,cemetery,86,0.9203
363,ruin,292,0.9675
364,amphitheater,5,0.9674
365,restaurant kitchen,285,0.9016
366,"florist shop, indoor",147,0.9908
367,fire station,144,0.9782
368,"pub, indoor",274,0.9486
369,arcade,11,0.9768
370,"greenhouse, outdoor",166,0.9678
371,"mosque, outdoor",230,0.9788
372,fire escape,143,0.8945
373,"swimming pool, outdoor",326,0.9613
374,rope bridge,291,0.9177
375,runway,293,0.9732
376,biology laboratory,56,0.9740
377,closet,95,0.9696
378,waterfall,355,0.9835
379,oilrig,247,0.9728
380,raft,277,0.9452
381,gas station,158,0.9856
382,berth,55,0.9184
383,berth,55,0.9211
384,cockpit,98,0.9547
385,throne room,331,0.9397
386,"arena, hockey",15,0.9566
387,airfield,0,0.9411
388,mausoleum,226,0.8858
389,operating room,248,0.9957
390,dam,113,0.9466
391,japanese garden,197,0.9348
392,"greenhouse, indoor",165,0.9690
393,orchestra pit,250,0.9347
394,restaurant kitchen,285,0.9853
395,"hangar, indoor",169,0.9074
396,"volleyball court, outdoor",351,0.9925
397,trench,340,0.9037
398,dining room,121,0.9165
399,"subway station, platform",320,0.9792
400,dining room,121,0.9179
401,campsite,76,0.9775
402,legislative chamber,211,0.9853
403,carrousel,83,0.9725
404,"greenhouse, indoor",165,0.9784
405,cockpit,98,0.9786
406,lighthouse,214,0.9631
407,bookstore,60,0.9838
408,"hunting lodge, outdoor",184,0.9376
409,motel,231,0.9193
410,shower,303,0.9513
411,"garage, outdoor",157,0.8744
412,oilrig,247,0.9571
413,"movie theater, indoor",235,0.9723
414,supermarket,321,0.9487
415,"escalator, indoor",135,0.9476
416,soccer field,310,0.9609
417,boat deck,58,0.9803
418,"hangar, indoor",169,0.9616
419,galley,155,0.9279
420,catacomb,85,0.9713
421,bowling alley,64,0.9852
422,ruin,292,0.9454
423,topiary garden,333,0.9439
424,"stage, outdoor",316,0.9653
425,"underwater, ocean deep",342,0.9841
426,"volleyball court, outdoor",351,0.9613
427,carrousel,83,0.9873
428,jewelry shop,198,0.9591
429,airfield,0,0.9856
430,physics laboratory,264,0.9634
431,rock arch,289,0.9835
432,"mosque, outdoor",230,0.9597
433,ball pit,34,0.9885
434,pier,266,0.9643
